V21	V24	Freq	Frac	Ratio	Class
B1_Mus2	antisense	2	0.153846153846154	7.83987458003016	SINE
B4A	antisense	1	0.0769230769230769	2.6350398481657	SINE
ID_B1	antisense	1	0.0769230769230769	2.51060690703253	SINE
L1MB4	antisense	1	0.0769230769230769	104.916466130058	LINE
MLT1H2	antisense	1	0.0769230769230769	278.674968775255	LTR
MTEb	antisense	1	0.0769230769230769	26.1000708746482	LTR
ORR1A4	antisense	1	0.0769230769230769	36.2540621654688	LTR
RLTR11A	antisense	1	0.0769230769230769	105.906603378473	LTR
RLTR12A	antisense	1	0.0769230769230769	343.261990950227	LTR
RLTR19-int	antisense	1	0.0769230769230769	114.510475787948	LTR
RLTR9A3B	antisense	1	0.0769230769230769	821.894907908993	LTR
Zaphod	antisense	1	0.0769230769230769	390.592626917927	DNA
AmnSINE1	lincRNA	1	0.032258064516129	90.8361472327992	SINE
B1_Mur2	lincRNA	1	0.032258064516129	3.65340808941449	SINE
B1_Mus1	lincRNA	1	0.032258064516129	1.22722001888207	SINE
B3	lincRNA	1	0.032258064516129	0.787652422848668	SINE
FordPrefect	lincRNA	1	0.032258064516129	411.974041490171	DNA
ID_B1	lincRNA	2	0.0645161290322581	2.10567030912406	SINE
L1M4	lincRNA	1	0.032258064516129	8.59002319029632	LINE
L1MB4	lincRNA	1	0.032258064516129	43.99722773196	LINE
L1MC4	lincRNA	1	0.032258064516129	21.4321755688529	LINE
L1MD2	lincRNA	1	0.032258064516129	37.3378975656334	LINE
LTR10_RN	lincRNA	1	0.032258064516129	214.284221230439	LTR
Lx4B	lincRNA	1	0.032258064516129	21.0813732464819	LINE
MIRb	lincRNA	1	0.032258064516129	2.81887965540663	SINE
MLT2D	lincRNA	1	0.032258064516129	75.4819804581004	LTR
MMERGLN_LTR	lincRNA	1	0.032258064516129	262.004904331007	LTR
MMERGLN-int	lincRNA	2	0.0645161290322581	274.957955781081	LTR
MMVL30-int	lincRNA	1	0.032258064516129	123.343034599376	LTR
MT2C_Mm	lincRNA	1	0.032258064516129	59.8026834421215	LTR
MTA_Mm	lincRNA	1	0.032258064516129	7.58516460991759	LTR
MTC	lincRNA	1	0.032258064516129	4.30498523406448	LTR
RLTR13E	lincRNA	1	0.032258064516129	195.457332783675	LTR
RLTR19B	lincRNA	1	0.032258064516129	518.45885729907	LTR
RLTR31B2	lincRNA	1	0.032258064516129	96.9542712540258	LTR
RLTR4_Mm	lincRNA	2	0.0645161290322581	990.73919289539	LTR
RLTR4_MM-int	lincRNA	1	0.032258064516129	283.232153524491	LTR
RLTR41	lincRNA	1	0.032258064516129	106.212057571685	LTR
RMER19B	lincRNA	1	0.032258064516129	20.6682922842197	LTR
Zaphod	lincRNA	1	0.032258064516129	163.796908062357	DNA
Lx2	nonsense_mediated_decay	1	0.25	50.0824574838914	LINE
MIRc	nonsense_mediated_decay	1	0.25	39.6165294953208	SINE
MTC	nonsense_mediated_decay	1	0.25	33.3636355639997	LTR
ORR1E	nonsense_mediated_decay	1	0.25	40.5707975013905	LTR
RLTR34D_MM	polymorphic_pseudogene	1	1	8640.1936218679	LTR
B2_Mm1t	processed_pseudogene	1	0.142857142857143	22.1602965576873	SINE
B2_Mm2	processed_pseudogene	1	0.142857142857143	5.72153370883123	SINE
ID_B1	processed_pseudogene	1	0.142857142857143	4.66255568448899	SINE
L1Md_F2	processed_pseudogene	1	0.142857142857143	8.34946487455041	LINE
Lx4B	processed_pseudogene	1	0.142857142857143	93.3603672344197	LINE
MT2_Mm	processed_pseudogene	1	0.142857142857143	195.195811033347	LTR
MTEa	processed_pseudogene	1	0.142857142857143	26.1934341097584	LTR
B1_Mm	processed_transcript	1	0.0119047619047619	1.00472370823148	SINE
B1_Mur1	processed_transcript	2	0.0238095238095238	2.26155298219755	SINE
B1_Mur4	processed_transcript	4	0.0476190476190476	4.2069499808122	SINE
B1_Mus1	processed_transcript	5	0.0595238095238095	2.26451313008002	SINE
B1F	processed_transcript	1	0.0119047619047619	0.957836743929062	SINE
